ItemID,Sentiment,SentimentSource
1,0,Sentiment140
2,0,Sentiment140
3,1,Sentiment140
4,0,Sentiment140
5,0,Sentiment140
6,0,Sentiment140
7,1,Sentiment140
8,0,Sentiment140
9,1,Sentiment140
10,1,Sentiment140
11,0,Sentiment140
12,1,Sentiment140
13,0,Sentiment140
14,0,Sentiment140
15,0,Sentiment140
16,0,Sentiment140
17,0,Sentiment140
18,1,Sentiment140
19,0,Sentiment140
20,0,Sentiment140
21,0,Sentiment140
22,0,Sentiment140
23,1,Sentiment140
24,0,Sentiment140
25,0,Sentiment140
26,0,Sentiment140
27,0,Sentiment140
28,0,Sentiment140
29,1,Sentiment140
30,0,Sentiment140
31,0,Sentiment140
32,0,Sentiment140
33,0,Sentiment140
34,0,Sentiment140
35,0,Sentiment140
36,0,Sentiment140
37,0,Sentiment140
38,0,Sentiment140
39,1,Sentiment140
40,0,Sentiment140
41,0,Sentiment140
42,1,Sentiment140
43,0,Sentiment140
44,1,Sentiment140
45,1,Sentiment140
46,1,Sentiment140
47,0,Sentiment140
48,0,Sentiment140
49,0,Sentiment140
50,0,Sentiment140
51,0,Sentiment140
52,1,Sentiment140
53,1,Sentiment140
54,0,Sentiment140
55,0,Sentiment140
56,0,Sentiment140
57,0,Sentiment140
58,1,Sentiment140
59,1,Sentiment140
60,0,Sentiment140
61,0,Sentiment140
62,1,Sentiment140
63,1,Sentiment140
64,1,Sentiment140
65,1,Sentiment140
66,0,Sentiment140
67,0,Sentiment140
68,0,Sentiment140
69,0,Sentiment140
70,0,Sentiment140
71,0,Sentiment140
72,0,Sentiment140
73,0,Sentiment140
74,0,Sentiment140
75,0,Sentiment140
76,0,Sentiment140
77,0,Sentiment140
78,0,Sentiment140
79,0,Sentiment140
80,0,Sentiment140
81,0,Sentiment140
82,0,Sentiment140
83,0,Sentiment140
84,0,Sentiment140
85,0,Sentiment140
86,1,Sentiment140
87,0,Sentiment140
88,0,Sentiment140
89,0,Sentiment140
90,1,Sentiment140
91,0,Sentiment140
92,0,Sentiment140
93,1,Sentiment140
94,1,Sentiment140
95,0,Sentiment140
96,0,Sentiment140
97,0,Sentiment140
98,0,Sentiment140
99,0,Sentiment140
100,0,Sentiment140
101,0,Sentiment140
102,0,Sentiment140
103,1,Sentiment140
104,1,Sentiment140
105,0,Sentiment140
106,0,Sentiment140
107,0,Sentiment140
108,1,Sentiment140
109,0,Sentiment140
110,0,Sentiment140
111,0,Sentiment140
112,0,Sentiment140
113,1,Sentiment140
114,1,Sentiment140
115,1,Sentiment140
116,0,Sentiment140
117,1,Sentiment140
118,1,Sentiment140
119,0,Sentiment140
120,0,Sentiment140
121,0,Sentiment140
122,0,Sentiment140
123,0,Sentiment140
124,0,Sentiment140
125,0,Sentiment140
126,0,Sentiment140
127,0,Sentiment140
128,1,Sentiment140
129,1,Sentiment140
130,0,Sentiment140
131,0,Sentiment140
132,0,Sentiment140
133,0,Sentiment140
134,1,Sentiment140
135,0,Sentiment140
136,0,Sentiment140
137,0,Sentiment140
138,1,Sentiment140
139,1,Sentiment140
140,0,Sentiment140
141,0,Sentiment140
142,0,Sentiment140
143,0,Sentiment140
144,1,Sentiment140
145,0,Sentiment140
146,1,Sentiment140
147,1,Sentiment140
148,0,Sentiment140
149,0,Sentiment140
150,0,Sentiment140
151,0,Sentiment140
152,0,Sentiment140
153,0,Sentiment140
154,0,Sentiment140
155,1,Sentiment140
156,1,Sentiment140
157,0,Sentiment140
158,1,Sentiment140
159,1,Sentiment140
160,0,Sentiment140
161,0,Sentiment140
162,0,Sentiment140
163,0,Sentiment140
164,0,Sentiment140
165,0,Sentiment140
166,1,Sentiment140
167,0,Sentiment140
168,0,Sentiment140
169,0,Sentiment140
170,0,Sentiment140
171,1,Sentiment140
172,0,Sentiment140
173,0,Sentiment140
174,1,Sentiment140
175,1,Sentiment140
176,1,Sentiment140
177,1,Sentiment140
178,0,Sentiment140
179,1,Sentiment140
180,1,Sentiment140
181,1,Sentiment140
182,1,Sentiment140
183,1,Sentiment140
184,0,Sentiment140
185,0,Sentiment140
186,1,Sentiment140
187,1,Sentiment140
188,1,Sentiment140
189,1,Sentiment140
190,1,Sentiment140
191,1,Sentiment140
192,1,Sentiment140
193,1,Sentiment140
194,1,Sentiment140
195,0,Sentiment140
196,1,Sentiment140
197,0,Sentiment140
198,0,Sentiment140
199,0,Sentiment140
200,0,Sentiment140
201,0,Sentiment140
202,0,Sentiment140
203,0,Sentiment140
204,1,Sentiment140
205,1,Sentiment140
206,0,Sentiment140
207,1,Sentiment140
208,1,Sentiment140
209,1,Sentiment140
